,precision,recall,f1-score,support
0,0.3258426966292135,0.5471698113207547,0.4084507042253522,212.0
1,0.34684684684684686,0.16812227074235808,0.22647058823529412,458.0
2,0.2939297124600639,0.2569832402234637,0.27421758569299554,358.0
3,0.25,0.43727598566308246,0.318122555410691,279.0
4,0.15702479338842976,0.09844559585492228,0.12101910828025478,193.0
accuracy,,,,0.284
macro avg,0.2747288098649108,0.30159938076091625,0.2696561083689175,1500.0
weighted avg,0.2888114198172793,0.284,0.2670652368288691,1500.0
