,precision,recall,f1-score,support
0,0.11212121212121212,0.137546468401487,0.12353923205342238,269.0
1,0.21497584541062803,0.2672672672672673,0.23828647925033467,333.0
2,0.2698412698412698,0.05466237942122187,0.09090909090909091,311.0
3,0.1986754966887417,0.1941747572815534,0.19639934533551553,309.0
4,0.22250639386189258,0.3129496402877698,0.2600896860986547,278.0
accuracy,,,,0.19333333333333333
macro avg,0.20362404358474887,0.19332010253185988,0.18184476672940364,1500.0
weighted avg,0.20594380231560494,0.19333333333333333,0.1825643391530398,1500.0
