,precision,recall,f1-score,support
0.0,0.2727272727272727,0.3,0.2857142857142857,30.0
1.0,0.14285714285714285,0.037037037037037035,0.058823529411764705,27.0
2.0,0.0,0.0,0.0,26.0
3.0,0.20238095238095238,0.5666666666666667,0.2982456140350877,30.0
4.0,0.36,0.3103448275862069,0.3333333333333333,29.0
5.0,0.15384615384615385,0.11428571428571428,0.13114754098360656,35.0
6.0,0.0,0.0,0.0,39.0
7.0,0.375,0.20689655172413793,0.26666666666666666,29.0
8.0,0.2857142857142857,0.07142857142857142,0.11428571428571428,28.0
9.0,0.2708333333333333,0.9629629629629629,0.42276422764227645,27.0
accuracy,,,,0.24666666666666667
macro avg,0.2063359140859141,0.2569622331691297,0.19109809120727356,300.0
weighted avg,0.20040834998334997,0.24666666666666667,0.18570610122455516,300.0
