,precision,recall,f1-score,support
0,0.3392857142857143,0.5135135135135135,0.40860215053763443,37.0
1,0.3118279569892473,0.42028985507246375,0.35802469135802467,69.0
2,0.14035087719298245,0.1095890410958904,0.12307692307692308,73.0
3,0.18840579710144928,0.2,0.19402985074626866,65.0
4,0.17073170731707318,0.12962962962962962,0.14736842105263157,54.0
5,0.3103448275862069,0.7258064516129032,0.4347826086956522,62.0
6,0.1,0.017857142857142856,0.030303030303030304,56.0
7,0.26666666666666666,0.06451612903225806,0.1038961038961039,62.0
8,0.11428571428571428,0.06779661016949153,0.0851063829787234,59.0
9,0.22784810126582278,0.2857142857142857,0.2535211267605634,63.0
accuracy,,,,0.24666666666666667
macro avg,0.2169747362690877,0.2534712658697578,0.21387112894055554,600.0
weighted avg,0.21375533944819253,0.24666666666666667,0.20910765192146644,600.0
