,precision,recall,f1-score,support
0,0.325,0.35135135135135137,0.33766233766233766,37.0
1,0.2698412698412698,0.4927536231884058,0.3487179487179487,69.0
2,0.29545454545454547,0.1780821917808219,0.22222222222222224,73.0
3,0.2,0.046153846153846156,0.075,65.0
4,0.29411764705882354,0.09259259259259259,0.1408450704225352,54.0
5,0.35374149659863946,0.8387096774193549,0.49760765550239233,62.0
6,0.24242424242424243,0.14285714285714285,0.1797752808988764,56.0
7,0.2647058823529412,0.14516129032258066,0.1875,62.0
8,0.16981132075471697,0.15254237288135594,0.16071428571428573,59.0
9,0.27472527472527475,0.3968253968253968,0.3246753246753247,63.0
accuracy,,,,0.285
macro avg,0.26898216792104535,0.2837029485372849,0.24747201258159227,600.0
weighted avg,0.2672343961356368,0.285,0.24623113277209635,600.0
