,precision,recall,f1-score,support
0,0.3153846153846154,0.39935064935064934,0.3524355300859599,308.0
1,0.2517985611510791,0.2229299363057325,0.23648648648648649,314.0
2,0.29435483870967744,0.24579124579124578,0.26788990825688075,297.0
3,0.2480916030534351,0.2195945945945946,0.23297491039426524,296.0
4,0.37577639751552794,0.4245614035087719,0.3986820428336079,285.0
accuracy,,,,0.30133333333333334
macro avg,0.297081203162867,0.30244556591019883,0.29769377561144006,1500.0
weighted avg,0.2961053230882779,0.30133333333333334,0.29663677230653784,1500.0
