,precision,recall,f1-score,support
0,0.12,0.22,0.15,231
1,0.26,0.15,0.19,525
2,0.66,0.48,0.56,1450
3,0.22,0.23,0.22,423
4,0.14,0.50,0.22,151
accuracy,,,,0.358633094
macro avg,0.28,0.32,0.27,2780
weighted avg,0.44,0.36,0.38,2780
