,precision,recall,f1-score,support
0,0.36363636363636365,0.4666666666666667,0.40875912408759124,60.0
1,0.3611111111111111,0.4482758620689655,0.39999999999999997,58.0
2,0.4594594594594595,0.3333333333333333,0.38636363636363635,51.0
3,0.35714285714285715,0.3,0.32608695652173914,50.0
4,0.5058823529411764,0.589041095890411,0.5443037974683543,73.0
5,0.36666666666666664,0.1864406779661017,0.24719101123595508,59.0
6,0.4594594594594595,0.26153846153846155,0.3333333333333333,65.0
7,0.40476190476190477,0.6071428571428571,0.4857142857142857,56.0
8,0.3076923076923077,0.13114754098360656,0.1839080459770115,61.0
9,0.44545454545454544,0.7313432835820896,0.5536723163841808,67.0
accuracy,,,,0.41333333333333333
macro avg,0.40312670283258517,0.4054929779172493,0.3869332507086087,600.0
weighted avg,0.40626860582742935,0.41333333333333333,0.39205665045500593,600.0
