,precision,recall,f1-score,support
0,0.2361111111111111,0.14655172413793102,0.18085106382978722,232.0
1,0.1497005988023952,0.3225806451612903,0.20449897750511242,155.0
2,0.5090252707581228,0.24955752212389382,0.33491686460807607,565.0
3,0.11212121212121212,0.29838709677419356,0.16299559471365638,124.0
4,0.41445783132530123,0.4056603773584906,0.4100119189511323,424.0
accuracy,,,,0.28933333333333333
macro avg,0.28428320482362845,0.28454747311115985,0.2586548839215529,1500.0
weighted avg,0.37014253290363086,0.28933333333333333,0.3046262161367597,1500.0
