,precision,recall,f1-score,support
0,0.33663366336633666,0.5666666666666667,0.42236024844720493,60.0
1,0.3088235294117647,0.3620689655172414,0.33333333333333337,58.0
2,0.23943661971830985,0.3333333333333333,0.2786885245901639,51.0
3,0.3488372093023256,0.3,0.3225806451612903,50.0
4,0.3225806451612903,0.136986301369863,0.1923076923076923,73.0
5,0.2564102564102564,0.3389830508474576,0.291970802919708,59.0
6,0.35294117647058826,0.09230769230769231,0.14634146341463414,65.0
7,0.26,0.23214285714285715,0.24528301886792453,56.0
8,0.3508771929824561,0.32786885245901637,0.3389830508474576,61.0
9,0.34523809523809523,0.43283582089552236,0.3841059602649006,67.0
accuracy,,,,0.30833333333333335
macro avg,0.31217783880614236,0.312319354053965,0.29559547401543096,600.0
weighted avg,0.3141252373784373,0.30833333333333335,0.2932382396350851,600.0
