,precision,recall,f1-score,support
0,0.25688073394495414,0.23529411764705882,0.24561403508771928,119.0
1,0.256,0.25196850393700787,0.25396825396825395,127.0
2,0.28191489361702127,0.3897058823529412,0.3271604938271605,136.0
3,0.2127659574468085,0.17543859649122806,0.19230769230769232,114.0
4,0.21428571428571427,0.17307692307692307,0.1914893617021277,104.0
accuracy,,,,0.25166666666666665
macro avg,0.24436945985889963,0.24509680470103185,0.24210796737859072,600.0
weighted avg,0.24660377717669144,0.25166666666666665,0.24635639354999814,600.0
