,precision,recall,f1-score,support
0,0.31,0.5166666666666667,0.3875,60.0
1,0.27586206896551724,0.27586206896551724,0.27586206896551724,58.0
2,0.28125,0.35294117647058826,0.31304347826086953,51.0
3,0.2553191489361702,0.24,0.24742268041237112,50.0
4,0.16666666666666666,0.0821917808219178,0.11009174311926606,73.0
5,0.29577464788732394,0.3559322033898305,0.3230769230769231,59.0
6,0.3103448275862069,0.13846153846153847,0.19148936170212766,65.0
7,0.22413793103448276,0.23214285714285715,0.2280701754385965,56.0
8,0.23076923076923078,0.2459016393442623,0.2380952380952381,61.0
9,0.3055555555555556,0.3283582089552239,0.3165467625899281,67.0
accuracy,,,,0.27166666666666667
macro avg,0.2655680077401154,0.2768458140218403,0.2631198431660837,600.0
weighted avg,0.26433393594834514,0.27166666666666667,0.25939294678950364,600.0
