,precision,recall,f1-score,support
0,0.38181818181818183,0.3620689655172414,0.37168141592920356,58.0
1,0.2857142857142857,0.25,0.26666666666666666,64.0
2,0.30612244897959184,0.5172413793103449,0.38461538461538464,58.0
3,0.2857142857142857,0.14285714285714285,0.19047619047619047,56.0
4,0.31746031746031744,0.3125,0.31496062992125984,64.0
accuracy,,,,0.31666666666666665
macro avg,0.3153659039373325,0.31693349753694583,0.30568005752174104,300.0
weighted avg,0.3150124372981516,0.31666666666666665,0.3058534269329336,300.0
