,precision,recall,f1-score,support
0,0.37037037037037035,0.5172413793103449,0.4316546762589928,58.0
1,0.2571428571428571,0.140625,0.18181818181818182,64.0
2,0.3023255813953488,0.4482758620689655,0.3611111111111111,58.0
3,0.22727272727272727,0.17857142857142858,0.2,56.0
4,0.4074074074074074,0.34375,0.3728813559322034,64.0
accuracy,,,,0.3233333333333333
macro avg,0.3129037887177422,0.3256927339901478,0.3094930650240978,300.0
weighted avg,0.31424951620300456,0.3233333333333333,0.3089372869449689,300.0
