,precision,recall,f1-score,support
0,0.11,0.27,0.16,191
1,0.20,0.23,0.21,460
2,0.63,0.44,0.52,1443
3,0.17,0.07,0.10,476
4,0.10,0.28,0.14,210
accuracy,,,,0.32
macro avg,0.24,0.26,0.23,2780
weighted avg,0.40,0.32,0.34,2780
