,precision,recall,f1-score,support
0,0.40,0.43,0.41,760
1,0.17,0.12,0.14,427
2,0.22,0.38,0.27,383
3,0.23,0.18,0.20,467
4,0.35,0.30,0.32,743
accuracy,,,,0.296402878
macro avg,0.27,0.28,0.27,2780
weighted avg,0.30,0.30,0.29,2780
