,precision,recall,f1-score,support
0,0.34,0.10,0.16,764
1,0.18,0.19,0.19,437
2,0.17,0.38,0.24,396
3,0.13,0.10,0.11,429
4,0.32,0.37,0.34,754
accuracy,,,,0.228417266
macro avg,0.23,0.23,0.21,2780
weighted avg,0.25,0.23,0.22,2780
