,precision,recall,f1-score,support
0,0.53,0.01,0.01,1396
1,0.05,0.06,0.05,142
2,0.05,0.12,0.07,135
3,0.07,0.14,0.10,123
4,0.05,0.14,0.07,139
5,0.03,0.01,0.01,127
6,0.02,0.01,0.01,165
7,0.05,0.17,0.08,132
8,0.05,0.09,0.06,152
9,0.03,0.03,0.03,154
10,0.05,0.29,0.08,115
accuracy,,,,0.052517986
macro avg,0.09,0.10,0.05,2780
weighted avg,0.29,0.05,0.03,2780
