,precision,recall,f1-score,support
1,0.10,0.08,0.09,294
2,0.09,0.05,0.06,315
3,0.10,0.13,0.12,272
4,0.10,0.10,0.10,283
5,0.12,0.08,0.09,235
6,0.10,0.04,0.06,286
7,0.13,0.05,0.07,271
8,0.10,0.21,0.13,280
9,0.11,0.15,0.13,275
10,0.09,0.14,0.11,269
accuracy,,,,0.101438849
macro avg,0.10,0.10,0.10,2780
weighted avg,0.10,0.10,0.10,2780
