,precision,recall,f1-score,support
0,0.2974683544303797,0.3949579831932773,0.3393501805054151,119.0
1,0.26436781609195403,0.18110236220472442,0.2149532710280374,127.0
2,0.23376623376623376,0.2647058823529412,0.24827586206896549,136.0
3,0.07575757575757576,0.043859649122807015,0.05555555555555555,114.0
4,0.23703703703703705,0.3076923076923077,0.2677824267782427,104.0
accuracy,,,,0.23833333333333334
macro avg,0.22167940341663606,0.23846363691321154,0.22518345918724325,600.0
weighted avg,0.2234231168355277,0.23833333333333334,0.2260499331005917,600.0
