,precision,recall,f1-score,support
0,0.24074074074074073,0.5,0.325,52.0
1,0.2926829268292683,0.17142857142857143,0.21621621621621623,70.0
2,0.1111111111111111,0.013888888888888888,0.024691358024691357,72.0
3,0.0,0.0,0.0,56.0
4,0.3931034482758621,0.8769230769230769,0.5428571428571428,65.0
5,0.2786885245901639,0.25,0.2635658914728682,68.0
6,0.25,0.02127659574468085,0.0392156862745098,47.0
7,0.3469387755102041,0.25757575757575757,0.29565217391304355,66.0
8,0.25,0.3333333333333333,0.28571428571428575,51.0
9,0.2608695652173913,0.5660377358490566,0.35714285714285715,53.0
accuracy,,,,0.2966666666666667
macro avg,0.24241350922747412,0.2990463959743366,0.23500556116156143,600.0
weighted avg,0.24455485557804116,0.2966666666666667,0.2364621475865751,600.0
