,precision,recall,f1-score,support
0,0.32,0.15384615384615385,0.2077922077922078,52.0
1,0.3142857142857143,0.4714285714285714,0.37714285714285717,70.0
2,0.18181818181818182,0.1111111111111111,0.13793103448275862,72.0
3,0.4444444444444444,0.07142857142857142,0.12307692307692308,56.0
4,0.44036697247706424,0.7384615384615385,0.5517241379310345,65.0
5,0.3114754098360656,0.27941176470588236,0.29457364341085274,68.0
6,0.25,0.0425531914893617,0.07272727272727272,47.0
7,0.2,0.13636363636363635,0.16216216216216214,66.0
8,0.2830188679245283,0.29411764705882354,0.2884615384615385,51.0
9,0.2198581560283688,0.5849056603773585,0.3195876288659794,53.0
accuracy,,,,0.295
macro avg,0.29652677468143673,0.28836278462710085,0.25351794060535865,600.0
weighted avg,0.29576737265552355,0.295,0.2594869683500604,600.0
