,precision,recall,f1-score,support
0,0.35294117647058826,0.4375,0.39069767441860465,288.0
1,0.24888888888888888,0.18983050847457628,0.2153846153846154,295.0
2,0.29064039408866993,0.36645962732919257,0.3241758241758242,322.0
3,0.30456852791878175,0.19047619047619047,0.234375,315.0
4,0.33650793650793653,0.37857142857142856,0.3563025210084034,280.0
accuracy,,,,0.31066666666666665
macro avg,0.30670938477497306,0.31256755097027755,0.3041871269974895,1500.0
weighted avg,0.3058778643059612,0.31066666666666665,0.30269122535865867,1500.0
