,precision,recall,f1-score,support
0,0.2701298701298701,0.49056603773584906,0.34840871021775544,212.0
1,0.35585585585585583,0.17439293598233996,0.2340740740740741,453.0
2,0.28846153846153844,0.17191977077363896,0.21543985637342908,349.0
3,0.26327433628318586,0.37898089171974525,0.3107049608355092,314.0
4,0.12017167381974249,0.16279069767441862,0.1382716049382716,172.0
accuracy,,,,0.26
macro avg,0.25957865491003856,0.27573006677719836,0.24937984128780788,1500.0
weighted avg,0.2816539877221521,0.26,0.25095385716518603,1500.0
