train_single_dqn.py:130: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:277.)
  image_seq_input = torch.tensor(image_seq, dtype=torch.float32).unsqueeze(0).to(device)
Episode 113/100000, Total Reward: -5, loss: 17.1876277923584
Episode 114/100000, Total Reward: -5, loss: 16.796875
Episode 115/100000, Total Reward: -5, loss: 12.890625
Episode 116/100000, Total Reward: -5, loss: 15.625
Episode 117/100000, Total Reward: -5, loss: 18.3595027923584
Episode 118/100000, Total Reward: -5, loss: 17.1875
Episode 119/100000, Total Reward: -5, loss: 14.0625
Episode 120/100000, Total Reward: -5, loss: 15.234375
Episode 121/100000, Total Reward: -5, loss: 14.0625
Episode 122/100000, Total Reward: -5, loss: 17.96886444091797
Episode 123/100000, Total Reward: -5, loss: 17.187572479248047
Episode 124/100000, Total Reward: -5, loss: 12.5
Episode 125/100000, Total Reward: -5, loss: 15.234375
Episode 126/100000, Total Reward: -5, loss: 16.796875
Episode 127/100000, Total Reward: -5, loss: 19.531400680541992
Episode 128/100000, Total Reward: -5, loss: 17.187538146972656
Episode 129/100000, Total Reward: -5, loss: 21.093889236450195
Episode 130/100000, Total Reward: -5, loss: 14.843805313110352
Episode 131/100000, Total Reward: -5, loss: 16.40625
Episode 132/100000, Total Reward: -5, loss: 17.96875
Episode 133/100000, Total Reward: -5, loss: 20.703203201293945
Episode 134/100000, Total Reward: -5, loss: 16.796939849853516
Episode 135/100000, Total Reward: -5, loss: 21.484375
Episode 136/100000, Total Reward: -5, loss: 19.53133201599121
Episode 137/100000, Total Reward: -5, loss: 14.453125
Episode 138/100000, Total Reward: -5, loss: 16.40625
Episode 139/100000, Total Reward: -5, loss: 19.53125
Episode 140/100000, Total Reward: -5, loss: 13.671875
Episode 141/100000, Total Reward: -5, loss: 20.703125
Episode 142/100000, Total Reward: -5, loss: 14.453182220458984
Episode 143/100000, Total Reward: -5, loss: 15.625065803527832
Episode 144/100000, Total Reward: -5, loss: 18.75
Episode 145/100000, Total Reward: -5, loss: 18.359458923339844
Episode 146/100000, Total Reward: -5, loss: 16.01569175720215
