,precision,recall,f1-score,support
0.0,0.19540229885057472,0.5666666666666667,0.2905982905982906,30.0
1.0,0.19047619047619047,0.2962962962962963,0.2318840579710145,27.0
2.0,0.1111111111111111,0.07692307692307693,0.09090909090909091,26.0
3.0,1.0,0.06666666666666667,0.125,30.0
4.0,0.2222222222222222,0.13793103448275862,0.1702127659574468,29.0
5.0,0.25,0.02857142857142857,0.05128205128205128,35.0
6.0,0.25,0.02564102564102564,0.046511627906976744,39.0
7.0,0.4,0.27586206896551724,0.32653061224489793,29.0
8.0,0.0,0.0,0.0,28.0
9.0,0.23809523809523808,0.9259259259259259,0.3787878787878788,27.0
accuracy,,,,0.22666666666666666
macro avg,0.2857307060755337,0.24004841901393625,0.17117163756576476,300.0
weighted avg,0.2895561029009305,0.22666666666666666,0.16444703541729028,300.0
