,precision,recall,f1-score,support
0,0.37623762376237624,0.6333333333333333,0.4720496894409938,60.0
1,0.3125,0.1724137931034483,0.22222222222222224,58.0
2,0.2638888888888889,0.37254901960784315,0.3089430894308943,51.0
3,0.2708333333333333,0.26,0.2653061224489796,50.0
4,0.3142857142857143,0.1506849315068493,0.2037037037037037,73.0
5,0.2962962962962963,0.4067796610169492,0.34285714285714286,59.0
6,0.34615384615384615,0.13846153846153847,0.1978021978021978,65.0
7,0.2,0.23214285714285715,0.21487603305785125,56.0
8,0.2878787878787879,0.3114754098360656,0.2992125984251969,61.0
9,0.33783783783783783,0.373134328358209,0.35460992907801414,67.0
accuracy,,,,0.3016666666666667
macro avg,0.3005912328437081,0.3050974872367093,0.28815827284671963,600.0
weighted avg,0.30336556207637067,0.3016666666666667,0.28705541699710235,600.0
