model,training,n_pop,ls_mean,ls_std,cross_sr_mean,cross_sr_std,self_sr_mean,self_sr_std,n_ls_seeds,n_sr_seeds
pop_ppo_2net_invisible,XP,2,0.2325871571238709,0.12232519030262358,0.9801666537920634,0.0008498256442899122,0.536999985575676,0.2204567159888867,3,3
sp_pop_ppo_2net_invisible,XP+SP,2,0.803688986873564,0.008458955022828401,0.984166661898295,0.003922865041440141,0.9853333334128062,0.0024944433129729074,3,3
pop_ppo_3net_invisible,XP,3,0.669515013436619,0.07315339595969504,0.9781111114554936,0.0017967751590439146,0.9600000050332812,0.02643370696890603,3,3
sp_pop_ppo_3net_invisible,XP+SP,3,0.7633656265327858,0.030471097756066365,0.9832222163677216,0.001968891915379803,0.9821111096276177,0.0035416503507193,3,3
pop_ppo_100net_invisible,XP,100,0.7113616846119667,0.017154415863138414,0.9804936079545454,0.0010014406648189895,0.9816015625,0.0006590651424397963,3,3
sp_pop_ppo_100net_invisible,XP+SP,100,0.7064964243248456,0.05562335594147978,0.980842145412458,0.0019151524128002274,0.9811588541666666,0.0013171008975418723,3,3
