,precision,recall,f1-score,support
0,0.24,0.16666666666666666,0.19672131147540983,288.0
1,0.19887955182072828,0.2465277777777778,0.22015503875968992,288.0
2,0.19732441471571907,0.19093851132686085,0.19407894736842105,309.0
3,0.17372881355932204,0.13225806451612904,0.15018315018315018,310.0
4,0.19607843137254902,0.26229508196721313,0.2244039270687237,305.0
accuracy,,,,0.19933333333333333
macro avg,0.20120224229366368,0.1997372204509295,0.19710847497107892,1500.0
weighted avg,0.2006869392290295,0.19933333333333333,0.19668717194485874,1500.0
