,precision,recall,f1-score,support
0,0.17796610169491525,0.5675675675675675,0.27096774193548384,37.0
1,0.21052631578947367,0.11594202898550725,0.14953271028037382,69.0
2,0.5079365079365079,0.4383561643835616,0.47058823529411764,73.0
3,0.18181818181818182,0.03076923076923077,0.052631578947368425,65.0
4,0.328125,0.7777777777777778,0.46153846153846156,54.0
5,0.5,0.3064516129032258,0.38,62.0
6,0.3333333333333333,0.19642857142857142,0.24719101123595502,56.0
7,0.3225806451612903,0.3225806451612903,0.3225806451612903,62.0
8,0.46153846153846156,0.5084745762711864,0.4838709677419355,59.0
9,0.5681818181818182,0.3968253968253968,0.4672897196261682,63.0
accuracy,,,,0.35
macro avg,0.35920063654539824,0.3661173572073316,0.3306191071761154,600.0
weighted avg,0.36736708148770475,0.35,0.3307182837575357,600.0
