,precision,recall,f1-score,support
0,0.19491525423728814,0.6216216216216216,0.2967741935483871,37.0
1,0.2857142857142857,0.14492753623188406,0.19230769230769232,69.0
2,0.4,0.3561643835616438,0.37681159420289856,73.0
3,0.16666666666666666,0.015384615384615385,0.028169014084507043,65.0
4,0.3728813559322034,0.8148148148148148,0.5116279069767442,54.0
5,0.375,0.2903225806451613,0.3272727272727273,62.0
6,0.21428571428571427,0.10714285714285714,0.14285714285714285,56.0
7,0.36538461538461536,0.3064516129032258,0.33333333333333337,62.0
8,0.45714285714285713,0.5423728813559322,0.49612403100775193,59.0
9,0.4,0.38095238095238093,0.3902439024390244,63.0
accuracy,,,,0.3383333333333333
macro avg,0.3231990749363631,0.3580155284614137,0.3095521538030209,600.0
weighted avg,0.32861725233335404,0.3383333333333333,0.3067171244004358,600.0
