,precision,recall,f1-score,support
0,0.5111111111111111,0.7666666666666667,0.6133333333333334,60.0
1,0.29411764705882354,0.3448275862068966,0.31746031746031744,58.0
2,0.5882352941176471,0.19607843137254902,0.29411764705882354,51.0
3,0.3584905660377358,0.38,0.3689320388349514,50.0
4,0.4166666666666667,0.273972602739726,0.33057851239669417,73.0
5,0.3076923076923077,0.13559322033898305,0.18823529411764706,59.0
6,0.5652173913043478,0.4,0.46846846846846846,65.0
7,0.2956521739130435,0.6071428571428571,0.3976608187134503,56.0
8,0.2608695652173913,0.19672131147540983,0.22429906542056074,61.0
9,0.46153846153846156,0.6268656716417911,0.5316455696202531,67.0
accuracy,,,,0.395
macro avg,0.40595911846575355,0.39278683475848797,0.37347310654245,600.0
weighted avg,0.40725383982288144,0.395,0.37653227760993446,600.0
