global_step,value
6066.0,1.3151889
8956.0,1.2100836
12658.0,1.2590498
12792.0,1.2853351
18856.0,1.3381495
24160.0,1.1972804
25904.0,1.1195174
26124.0,1.1179001
26196.0,1.1314672
26840.0,1.0964961
29432.0,0.99033153
29638.0,0.9642392
30172.0,1.0503424
37964.0,0.9704496
47040.0,0.9368035
51456.0,0.8776374
52392.0,0.8842175
63692.0,0.81182355
65150.0,0.7661356
65960.0,0.79057425
74802.0,0.7618805
74884.0,0.74145764
75118.0,0.7745059
78592.0,0.6852796
81644.0,0.68978345
88466.0,0.68881
89548.0,0.67914546
97422.0,0.66460246
107654.0,0.5714444
113546.0,0.56489897
122872.0,0.51387954
128548.0,0.42460167
130834.0,0.41842157
136508.0,0.42387164
152832.0,0.38370115
163016.0,0.32590804
163592.0,0.30408123
175250.0,0.33380294
184038.0,0.292108
188414.0,0.29143462
188914.0,0.29861903
192822.0,0.25711307
196760.0,0.2777379
197076.0,0.28474623
202982.0,0.27841434
204352.0,0.28444335
206070.0,0.25549597
208312.0,0.26809657
218228.0,0.24836098
220626.0,0.22146909
222170.0,0.18738936
227720.0,0.21328782
232302.0,0.19027893
234662.0,0.17411706
240334.0,0.18815592
244330.0,0.17067763
246966.0,0.16063699
253068.0,0.19437209
258642.0,0.1672908
266976.0,0.1575487
276240.0,0.15228945
280910.0,0.15070657
281752.0,0.14595023
282336.0,0.14092681
289688.0,0.15453666
294188.0,0.13422537
296644.0,0.13193844
307170.0,0.13938181
311740.0,0.13797526
318084.0,0.12575053
323446.0,0.13109498
324450.0,0.14494239
328338.0,0.12063407
338868.0,0.13045043
346360.0,0.13509536
347508.0,0.13231663
356428.0,0.13494165
359494.0,0.116136074
362196.0,0.14191459
362578.0,0.13411549
389374.0,0.12632664
400706.0,0.109967284
401750.0,0.12132531
409314.0,0.12552087
417712.0,0.13202107
437000.0,0.124109484
439630.0,0.08786057
443610.0,0.10304236
462552.0,0.10827536
471016.0,0.10951139
473828.0,0.117048316
484602.0,0.112463765
486092.0,0.102962375
490796.0,0.11134837
499626.0,0.10581772
501522.0,0.10665799
521854.0,0.10339954
523490.0,0.11688975
527076.0,0.09490073
534780.0,0.109646805
536426.0,0.11156739
539592.0,0.09302411
541520.0,0.09908767
551310.0,0.10668382
569206.0,0.10249893
580210.0,0.09334547
590438.0,0.11208356
596732.0,0.109813
611314.0,0.09848509
615536.0,0.10171086
621312.0,0.10030685
625104.0,0.11647271
640674.0,0.11012725
645048.0,0.09913709
647176.0,0.0979826
650006.0,0.10073
654840.0,0.09798958
656682.0,0.1010642
657516.0,0.097516656
664488.0,0.09523951
664616.0,0.10138996
679704.0,0.0911115
684687.0,0.14183412
689199.0,0.1353447
691663.0,0.12777723
699577.0,0.10585663
705189.0,0.095478445
714243.0,0.094814315
718269.0,0.112778224
721631.0,0.09032381
722213.0,0.09728701
724665.0,0.098427
727135.0,0.09977774
734531.0,0.09055241
738409.0,0.08225139
741499.0,0.07983909
744799.0,0.10026473
753131.0,0.0860588
761355.0,0.07228647
766261.0,0.09279659
766631.0,0.097147405
770461.0,0.08969614
772037.0,0.081837185
773237.0,0.09242701
785379.0,0.08371651
817305.0,0.09135568
818517.0,0.0930276
823119.0,0.08613411
827251.0,0.08111057
839307.0,0.079906896
839685.0,0.06979389
842847.0,0.07672997
859605.0,0.090334944
864505.0,0.07654546
865607.0,0.08605327
869041.0,0.07721411
879817.0,0.08654851
884251.0,0.077904806
885973.0,0.070867814
886081.0,0.08775011
895187.0,0.07422517
898375.0,0.08192506
916745.0,0.07313676
947135.0,0.06304736
951357.0,0.07149636
962767.0,0.07266827
963263.0,0.07203466
977289.0,0.06799228
979037.0,0.069974616
981151.0,0.07519988
984493.0,0.08398894
991961.0,0.0661974
995443.0,0.06254767
996923.0,0.064525574
999173.0,0.063944906
1004407.0,0.064952455
1009763.0,0.06443004
1015627.0,0.075185545
1018609.0,0.07360549
1019867.0,0.06234208
1028597.0,0.06956901
1033987.0,0.06622582
1040229.0,0.067211024
1045989.0,0.072797224
1050015.0,0.07004212
1052131.0,0.07029377
1052897.0,0.07475523
1067581.0,0.06560796
1076615.0,0.073634006
1086783.0,0.07995349
1086923.0,0.06625559
1097239.0,0.06900351
1114971.0,0.07178421
1121675.0,0.06784436
1124055.0,0.06590738
1130489.0,0.06504675
1133013.0,0.070915334
1135299.0,0.06946216
1136055.0,0.06413116
1138305.0,0.06185174
1143369.0,0.07305854
1145753.0,0.06668743
1146903.0,0.06329862
1148541.0,0.06214282
1160429.0,0.07151782
1167621.0,0.0682206
1167873.0,0.066759944
1172679.0,0.058432113
1174461.0,0.06448152
1175335.0,0.069943324
