,precision,recall,f1-score,support
0,0.2311111111111111,0.49056603773584906,0.31419939577039274,212.0
1,0.3333333333333333,0.08830022075055188,0.13961605584642234,453.0
2,0.23809523809523808,0.014326647564469915,0.027027027027027025,349.0
3,0.2359882005899705,0.5095541401273885,0.3225806451612903,314.0
4,0.10822510822510822,0.14534883720930233,0.12406947890818856,172.0
accuracy,,,,0.22266666666666668
macro avg,0.22935059827095222,0.24961917667751235,0.1854985205426642,1500.0
weighted avg,0.250537204833842,0.22266666666666668,0.17461270039135907,1500.0
