,precision,recall,f1-score,support
0,0.26153846153846155,0.4594594594594595,0.3333333333333333,37.0
1,0.32142857142857145,0.2608695652173913,0.28800000000000003,69.0
2,0.1774193548387097,0.1506849315068493,0.16296296296296298,73.0
3,0.25,0.16923076923076924,0.2018348623853211,65.0
4,0.19696969696969696,0.24074074074074073,0.21666666666666662,54.0
5,0.2894736842105263,0.3548387096774194,0.31884057971014496,62.0
6,0.32075471698113206,0.30357142857142855,0.3119266055045871,56.0
7,0.1794871794871795,0.11290322580645161,0.13861386138613863,62.0
8,0.22448979591836735,0.3728813559322034,0.2802547770700637,59.0
9,0.2682926829268293,0.1746031746031746,0.21153846153846154,63.0
accuracy,,,,0.24833333333333332
macro avg,0.2489854144299474,0.25997833607458876,0.246397211055768,600.0
weighted avg,0.24813107621476505,0.24833333333333332,0.24102152644159797,600.0
