,precision,recall,f1-score,support
0,0.38571428571428573,0.5192307692307693,0.4426229508196722,52.0
1,0.36363636363636365,0.45714285714285713,0.4050632911392405,70.0
2,0.2777777777777778,0.1388888888888889,0.1851851851851852,72.0
3,0.4342105263157895,0.5892857142857143,0.5,56.0
4,0.2962962962962963,0.24615384615384617,0.2689075630252101,65.0
5,0.175,0.10294117647058823,0.12962962962962962,68.0
6,0.36666666666666664,0.7021276595744681,0.4817518248175182,47.0
7,0.037037037037037035,0.015151515151515152,0.02150537634408602,66.0
8,0.21739130434782608,0.09803921568627451,0.13513513513513514,51.0
9,0.3020833333333333,0.5471698113207547,0.3892617449664429,53.0
accuracy,,,,0.32166666666666666
macro avg,0.2855813591125376,0.34161314539056764,0.295906270106212,600.0
weighted avg,0.2796031466846922,0.32166666666666666,0.2843040309123383,600.0
