,precision,recall,f1-score,support
0,0.35294117647058826,0.11538461538461539,0.1739130434782609,52.0
1,0.35555555555555557,0.22857142857142856,0.2782608695652174,70.0
2,0.22105263157894736,0.2916666666666667,0.251497005988024,72.0
3,0.3684210526315789,0.375,0.3716814159292035,56.0
4,0.25555555555555554,0.35384615384615387,0.2967741935483871,65.0
5,0.08333333333333333,0.014705882352941176,0.025,68.0
6,0.32710280373831774,0.7446808510638298,0.4545454545454545,47.0
7,0.3488372093023256,0.22727272727272727,0.27522935779816515,66.0
8,0.16666666666666666,0.09803921568627451,0.12345679012345677,51.0
9,0.3173076923076923,0.6226415094339622,0.4203821656050955,53.0
accuracy,,,,0.29333333333333333
macro avg,0.27967736771405616,0.30718090502785994,0.2670740296581265,600.0
weighted avg,0.27630228591025335,0.29333333333333333,0.2608988841432245,600.0
