,precision,recall,f1-score,support
0,0.3090909090909091,0.3269230769230769,0.31775700934579443,52.0
1,0.3111111111111111,0.2,0.24347826086956526,70.0
2,0.2537313432835821,0.2361111111111111,0.24460431654676257,72.0
3,0.5641025641025641,0.39285714285714285,0.4631578947368421,56.0
4,0.391304347826087,0.27692307692307694,0.32432432432432434,65.0
5,0.4084507042253521,0.4264705882352941,0.4172661870503597,68.0
6,0.275,0.46808510638297873,0.3464566929133859,47.0
7,0.21875,0.10606060606060606,0.14285714285714285,66.0
8,0.17391304347826086,0.1568627450980392,0.16494845360824742,51.0
9,0.3445378151260504,0.7735849056603774,0.47674418604651153,53.0
accuracy,,,,0.325
macro avg,0.3249991838243917,0.3363878359251703,0.3141594468298936,600.0
weighted avg,0.3256848421195969,0.325,0.3099370440566213,600.0
