,precision,recall,f1-score,support
0,0.2222222222222222,0.49056603773584906,0.3058823529411765,212.0
1,0.5555555555555556,0.010917030567685589,0.021413276231263382,458.0
2,0.30272108843537415,0.24860335195530725,0.27300613496932513,358.0
3,0.2403560830860534,0.5806451612903226,0.33997901364113325,279.0
4,0.07272727272727272,0.02072538860103627,0.03225806451612903,193.0
accuracy,,,,0.24266666666666667
macro avg,0.2787164444052956,0.27029139403004016,0.19450776845980544,1500.0
weighted avg,0.32735027735519473,0.24266666666666667,0.18231365794263701,1500.0
