,precision,recall,f1-score,support
0,0.29329608938547486,0.3409090909090909,0.3153153153153153,308.0
1,0.18779342723004694,0.12738853503184713,0.15180265654648956,314.0
2,0.24319066147859922,0.4208754208754209,0.3082614056720099,297.0
3,0.21304347826086956,0.16554054054054054,0.18631178707224336,296.0
4,0.24324324324324326,0.15789473684210525,0.19148936170212766,285.0
accuracy,,,,0.24266666666666667
macro avg,0.2361133799196468,0.24252166483980098,0.23063610526163716,1500.0
weighted avg,0.2359434346864311,0.24266666666666667,0.23070636387719476,1500.0
