,precision,recall,f1-score,support
0,0.2682926829268293,0.1746031746031746,0.21153846153846154,63.0
1,0.27472527472527475,0.31645569620253167,0.29411764705882354,79.0
3,0.3880597014925373,0.5148514851485149,0.4425531914893617,101.0
4,0.20588235294117646,0.12280701754385964,0.15384615384615385,57.0
accuracy,,,,0.31666666666666665
macro avg,0.28424000302145447,0.28217934337452016,0.27551386348320017,300.0
weighted avg,0.2984501989869342,0.31666666666666665,0.3000977343474215,300.0
