,precision,recall,f1-score,support
0.0,0.23809523809523808,1.0,0.38461538461538464,30.0
1.0,0.0,0.0,0.0,27.0
2.0,0.16666666666666666,0.038461538461538464,0.0625,26.0
3.0,0.16666666666666666,0.06666666666666667,0.09523809523809523,30.0
4.0,0.0,0.0,0.0,29.0
5.0,0.25,0.02857142857142857,0.05128205128205128,35.0
6.0,0.25,0.02564102564102564,0.046511627906976744,39.0
7.0,0.2857142857142857,0.27586206896551724,0.2807017543859649,29.0
8.0,0.30303030303030304,0.35714285714285715,0.32786885245901637,28.0
9.0,0.23255813953488372,0.7407407407407407,0.35398230088495575,27.0
accuracy,,,,0.24333333333333335
macro avg,0.1892731299708044,0.25330863261897746,0.1602700066772445,300.0
weighted avg,0.19341941004731703,0.24333333333333335,0.1550254351626251,300.0
