,precision,recall,f1-score,support
0,0.1937984496124031,0.1736111111111111,0.18315018315018314,288.0
1,0.18588640275387264,0.36610169491525424,0.2465753424657534,295.0
2,0.23466666666666666,0.2732919254658385,0.25251076040172166,322.0
3,0.20437956204379562,0.08888888888888889,0.12389380530973451,315.0
4,0.2080536912751678,0.11071428571428571,0.1445221445221445,280.0
accuracy,,,,0.20333333333333334
macro avg,0.20535695447038113,0.2025215812190757,0.19013044716990746,1500.0
weighted avg,0.20589846971218254,0.20333333333333334,0.19085879517518084,1500.0
